SYMBOL,PRICE,FISCAL_YEAR,REVENUE,EBITDA,NET_INCOME,FCF,TOTAL_DEBT,CASH,SHARES_OUT,DIVIDENDS,MARKET_CAP,ENTERPRISE_VALUE,PE,EV_EBITDA,EV_SALES,FCF_YIELD,DIV_YIELD,IV_FCF_YIELD_6PCT,IV_FCF_YIELD_6PCT_UPSIDE
XOM,110.55,2024,349585000000,73311000000,33680000000,34362000000,41700000000,23000000000,4298000000,16700000000,475143900000,493843900000,14.107597981,6.736286505,1.41265758,0.07231914374,0.03514724697,133.248022336,0.2053190623
AAPL,236,2024,391035000000,125000000000,93736000000,108807000000,106629000000,156650000000,15116786000,15234000000,3567561496000,3517540496000,38.059672868,28.140323968,8.995462033,0.03049898372,0.004270143631,119.962669313,-0.4916836046
META,689.18,2024,164501000000,75000000000,62360000000,52100000000,28830000000,77810000000,2534000000,5072000000,1746382120000,1697402120000,28.004844772,22.632028267,10.318491195,0.02983310434,0.002904289927,342.672980795,-0.5027815944
GOOGL,204.02,2024,350018000000,130000000000,100118000000,72764000000,81047000000,110440000000,12300000000,7319000000,2509446000000,2480053000000,25.064883438,19.077330769,7.085501317,0.02899604136,0.002916579994,98.596205962,-0.516732644
MSFT,415.06,2024,245096000000,127000000000,88360000000,76961000000,44937000000,75543000000,7433000000,21000000000,3085140980000,3054534980000,34.915583748,24.051456535,12.462606407,0.02494569956,0.006806820219,172.566034351,-0.5842383406
