symbol,fiscal_year,revenue,ebitda,net_income,fcf,total_debt,cash,shares_out,dividends
AAPL,2024,391035000000,125000000000,93736000000,108807000000,106629000000,156650000000,15116786000,15234000000
MSFT,2024,245096000000,127000000000,88360000000,76961000000,44937000000,75543000000,7433000000,21000000000
GOOGL,2024,350018000000,130000000000,100118000000,72764000000,81047000000,110440000000,12300000000,7319000000
META,2024,164501000000,75000000000,62360000000,52100000000,28830000000,77810000000,2534000000,5072000000
XOM,2024,349585000000,73311000000,33680000000,34362000000,41700000000,23000000000,4298000000,16700000000
